source,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
data_raw/surveys_part1.csv,1,7,16,1977,2,NL,M,32,NA,Neotoma,albigula,Rodent,Control
data_raw/surveys_part1.csv,2,7,16,1977,3,NL,M,33,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,3,7,16,1977,2,DM,F,37,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,4,7,16,1977,7,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,5,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,6,7,16,1977,1,PF,M,14,NA,Perognathus,flavus,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,7,7,16,1977,2,PE,F,NA,NA,Peromyscus,eremicus,Rodent,Control
data_raw/surveys_part1.csv,8,7,16,1977,1,DM,M,37,NA,Dipodomys,merriami,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,9,7,16,1977,1,DM,F,34,NA,Dipodomys,merriami,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,10,7,16,1977,6,PF,F,20,NA,Perognathus,flavus,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,11,7,16,1977,5,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,12,7,16,1977,7,DM,M,38,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,13,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,14,7,16,1977,8,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,15,7,16,1977,6,DM,F,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,16,7,16,1977,4,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,17,7,16,1977,3,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,18,7,16,1977,2,PP,M,22,NA,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,19,7,16,1977,4,PF,NA,NA,NA,Perognathus,flavus,Rodent,Control
data_raw/surveys_part1.csv,20,7,17,1977,11,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
data_raw/surveys_part1.csv,21,7,17,1977,14,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,22,7,17,1977,15,NL,F,31,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,23,7,17,1977,13,DM,M,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,24,7,17,1977,13,SH,M,21,NA,Sigmodon,hispidus,Rodent,Short-term Krat Exclosure
data_raw/surveys_part1.csv,25,7,17,1977,9,DM,M,35,NA,Dipodomys,merriami,Rodent,Spectab exclosure
data_raw/surveys_part1.csv,26,7,17,1977,15,DM,M,31,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,27,7,17,1977,15,DM,M,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,28,7,17,1977,11,DM,M,38,NA,Dipodomys,merriami,Rodent,Control
data_raw/surveys_part1.csv,29,7,17,1977,11,PP,M,NA,NA,Chaetodipus,penicillatus,Rodent,Control
data_raw/surveys_part1.csv,30,7,17,1977,10,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
data_raw/surveys_part1.csv,31,7,17,1977,15,DM,F,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
data_raw/surveys_part1.csv,32,7,17,1977,10,DM,F,35,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
